iter	MAE
302	1.760461311
303	1.759168285
304	1.757556131
305	1.756894161
306	1.755874025
307	1.753743542
308	1.752770143
309	1.751904272
310	1.750802541
311	1.749923292
312	1.749561318
313	1.746819016
314	1.744389675
315	1.743465785
316	1.741566594
317	1.738557321
318	1.737368869
319	1.73663868
320	1.736101968
321	1.73544345
322	1.733406113
323	1.733063899
324	1.730256181
325	1.728528536
326	1.727846743
327	1.72666606
328	1.725935489
329	1.722489869
330	1.720003364
331	1.717454875
332	1.716297349
333	1.714775805
334	1.714293718
335	1.713418692
336	1.712347268
337	1.710271871
338	1.708511754
339	1.706609856
340	1.704337167
341	1.703443787
342	1.701983839
343	1.700549096
344	1.694383066
345	1.691134321
346	1.690608235
347	1.688030964
348	1.684643634
349	1.68446283
350	1.682811097
351	1.679430701
352	1.679207246
353	1.678116576
354	1.675435417
355	1.674855571
356	1.674100913
357	1.672344247
358	1.671153517
359	1.670960739
360	1.668809994
361	1.667745393
362	1.665876682
363	1.664229409
364	1.663314516
365	1.662599713
366	1.661342479
367	1.660860725
368	1.660171954
369	1.658840937
370	1.658534447
371	1.657388185
372	1.656907637
373	1.655235362
374	1.654203457
375	1.653932911
376	1.652746751
377	1.652369072
378	1.652177049
379	1.651760332
380	1.651261313
381	1.649094798
382	1.648279678
383	1.648190631
384	1.647986314
385	1.645629849
386	1.644758724
387	1.642429208
388	1.642218765
389	1.638469683
390	1.634619144
391	1.633946883
392	1.633679427
393	1.633427856
394	1.632972836
395	1.632060605
396	1.630751079
397	1.628492588
398	1.627108258
399	1.625441675
400	1.625029311
401	1.622291852
402	1.620796268
403	1.618337124
404	1.617947643
405	1.617536675
406	1.616179702
407	1.615832149
408	1.613770325
409	1.613362567
410	1.613007647
411	1.61269218
412	1.612398586
413	1.611944813
414	1.611231838
415	1.610294152
416	1.609003931
417	1.605845268
418	1.604108245
419	1.601504218
420	1.601038217
421	1.600508036
422	1.59865457
423	1.598180593
424	1.596792098
425	1.596478636
426	1.595173521
427	1.594468575
428	1.593906318
429	1.593457978
430	1.592839421
431	1.590064801
432	1.589510053
433	1.588638262
434	1.58775616
435	1.587092849
436	1.585676382
437	1.582961226
438	1.582464213
439	1.581457797
440	1.58049077
441	1.579292832
442	1.578666906
443	1.57837425
444	1.577476673
445	1.576394506
446	1.574696121
447	1.572775427
448	1.572522946
449	1.570938697
450	1.570062517
451	1.568670165
452	1.567459285
453	1.566564373
454	1.565785186
455	1.564980172
456	1.563669989
457	1.562804197
458	1.56157787
459	1.560770778
460	1.559893977
461	1.558884909
462	1.557988766
463	1.557587808
464	1.556938518
465	1.556189872
466	1.554862313
467	1.554151009
468	1.553110902
469	1.551895731
470	1.551311754
471	1.550915184
472	1.549746339
473	1.548605207
474	1.547429219
475	1.545729791
476	1.545325928
477	1.545068325
478	1.544356542
479	1.542966397
480	1.54162256
481	1.540596613
482	1.539677874
483	1.539529673
